"id","created_at","updated_at","building_id","floor_number","bounds","room_category_id","room_type_id","code","label_position","position","default_visible","floor_id","icon","hse_id","schedule_url","campus_id"
1017,"2020-01-28 13:23:05","2020-11-23 17:20:04",,6,"[[[3019.68,1761.2199999999998],[2982.32,1750.8799999999999],[2956.73,1844.33],[2994.09,1854.6699999999998],[3019.68,1761.2199999999998],[3019.68,1761.2199999999998]]]",245,1542,"S624",,,TRUE,,,,,1
987,"2020-01-28 13:23:05","2020-11-23 17:20:04",9,6,"[[[2971.24,1747.8099999999997],[2930.49,1736.5299999999997],[2904.9,1829.9699999999998],[2945.65,1841.2599999999998],[2971.24,1747.8099999999997],[2971.24,1747.8099999999997]]]",245,1542,"S625",,,TRUE,61,,,,1
997,"2020-01-28 13:23:06","2020-11-23 17:20:04",9,6,"[[[2919.44,1733.4599999999998],[2879.25,1722.34],[2853.66,1815.7899999999997],[2893.84,1826.9099999999999],[2919.44,1733.4599999999998],[2919.44,1733.4599999999998]]]",245,1542,"S626",,,TRUE,61,,,,1
990,"2020-01-28 13:23:06","2020-11-23 17:20:04",9,6,"[[[2819.74,1705.86],[2779.09,1694.6],[2753.5,1788.0499999999997],[2794.15,1799.2999999999997],[2819.74,1705.86],[2819.74,1705.86]]]",245,1542,"S628",,,TRUE,61,,,,1
1009,"2020-01-28 13:23:06","2020-11-23 17:20:05",,6,"[[[2768.94,1691.7099999999998],[2678.78,1666.8199999999997],[2653.36,1760.3199999999997],[2743.51,1785.1999999999998],[2768.94,1691.7099999999998],[2768.94,1691.7099999999998]]]",245,1542,"S629",,,TRUE,,,,,1
1001,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,6,"[[[2558.56,1633.5399999999995],[2524.22,1624.0299999999997],[2498.61,1717.61],[2532.95,1727.12],[2558.56,1633.5399999999995],[2558.56,1633.5399999999995]]]",245,1542,"S630",,,TRUE,61,,,,1
1003,"2020-01-28 13:23:06","2020-11-23 17:20:05",,6,"[[[2512.93,1620.9],[2471.52,1609.44],[2445.91,1703.0199999999998],[2487.32,1714.4799999999998],[2512.93,1620.9],[2512.93,1620.9]]]",245,1542,"S631",,,TRUE,,,,,1
1010,"2020-01-28 13:23:06","2020-11-23 17:20:05",,6,"[[[2460.51,1606.3899999999999],[2420.45,1595.2999999999997],[2394.84,1688.8799999999999],[2434.9,1699.9699999999998],[2460.51,1606.3899999999999],[2460.51,1606.3899999999999]]]",245,1542,"S632",,,TRUE,,,,,1
1000,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,6,"[[[2404.98,1591.0099999999998],[2367.01,1580.4999999999995],[2341.4,1674.08],[2379.37,1684.6],[2404.98,1591.0099999999998],[2404.98,1591.0099999999998]]]",245,1542,"S633",,,TRUE,61,,,,1
1008,"2020-01-28 13:23:06","2020-11-23 17:20:05",,6,"[[[2356.47,1577.58],[2315.73,1566.2999999999997],[2290.13,1659.8799999999997],[2330.86,1671.1599999999999],[2356.47,1577.58],[2356.47,1577.58]]]",245,1542,"S634",,,TRUE,,,,,1
994,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,6,"[[[2304.69,1563.2499999999995],[2263.14,1551.7399999999998],[2237.54,1645.3199999999997],[2279.08,1656.83],[2304.69,1563.2499999999995],[2304.69,1563.2499999999995]]]",245,1542,"S635",,,TRUE,61,,,,1
988,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,6,"[[[2198.72,1533.9099999999999],[2167.01,1525.1299999999997],[2141.4,1618.7099999999996],[2173.11,1627.4899999999998],[2198.72,1533.9099999999999],[2198.72,1533.9099999999999]]]",245,1542,"S637",,,TRUE,61,,,,1
996,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,6,"[[[2087.6,1503.1399999999999],[2048.89,1492.4199999999996],[2022.86,1587.6799999999998],[2061.57,1598.4],[2087.6,1503.1399999999999],[2087.6,1503.1399999999999]]]",245,1542,"S638",,,TRUE,61,,,,1
995,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,6,"[[[2037.87,1489.37],[1998.3,1478.4099999999999],[1972.28,1573.6699999999996],[2011.84,1584.6299999999997],[2037.87,1489.37],[2037.87,1489.37]]]",245,1542,"S639",,,TRUE,61,,,,1
1016,"2020-01-28 13:23:06","2020-11-23 17:20:05",,6,"[[[1987.33,1475.37],[1948.71,1464.6799999999998],[1922.69,1559.94],[1961.3,1570.6299999999997],[1987.33,1475.37],[1987.33,1475.37]]]",245,1542,"S640",,,TRUE,,,,,1
1015,"2020-01-28 13:23:06","2020-11-23 17:20:05",,6,"[[[1937.62,1461.6100000000001],[1893.03,1449.27],[1865.81,1544.1999999999998],[1911.6,1556.87],[1937.62,1461.6100000000001],[1937.62,1461.6100000000001]]]",245,1542,"S641",,,TRUE,,,,,1
1133,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[1980.2,1310.3399999999997],[1935.12,1297.8600000000001],[1909.23,1395.5499999999997],[1953.5,1407.81],[1980.2,1310.3399999999997],[1980.2,1310.3399999999997]]]",245,1542,"S701",,,TRUE,65,,,,1
1120,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2029.9,1324.1],[1991.29,1313.4099999999999],[1964.59,1410.8799999999997],[2003.2,1421.5699999999997],[2029.9,1324.1],[2029.9,1324.1]]]",245,1542,"S702",,,TRUE,65,,,,1
1135,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2014.18,1424.6100000000001],[2062.93,1438.1],[2089.63,1340.6399999999999],[2040.88,1327.1399999999999],[2014.18,1424.6100000000001],[2014.18,1424.6100000000001]]]",245,1542,"S703",,,TRUE,65,,,,1
1106,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2132.3,1352.4499999999998],[2101.01,1343.7899999999995],[2074.31,1441.2599999999998],[2105.6,1449.9199999999996],[2132.3,1352.4499999999998],[2132.3,1352.4499999999998]]]",1,,"S704",,,TRUE,65,,,,1
1137,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2277.9,1484.4099999999999],[2286.88,1486.9],[2283.51,1499.1799999999998],[2318.41,1508.8399999999997],[2345.7,1410.5299999999997],[2287.27,1394.3600000000001],[2277.16,1429.8899999999999],[2291.73,1433.9299999999998],[2277.9,1484.4099999999999],[2277.9,1484.4099999999999]]]",245,1542,"S705",,,TRUE,65,,,,1
1112,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2329.58,1511.9299999999998],[2370.64,1523.2999999999997],[2397.42,1425.56],[2356.37,1414.19],[2329.58,1511.9299999999998],[2329.58,1511.9299999999998]]]",245,1542,"S706",,,TRUE,65,,,,1
1113,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2446.56,1439.3399999999997],[2408.59,1428.8199999999997],[2381.82,1526.4],[2419.79,1536.9099999999999],[2446.56,1439.3399999999997],[2446.56,1439.3399999999997]]]",245,1542,"S707",,,TRUE,65,,,,1
1118,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2501.62,1456.2499999999995],[2461.56,1445.1599999999999],[2435.27,1541.1999999999998],[2475.32,1552.2899999999995],[2501.62,1456.2499999999995],[2501.62,1456.2499999999995]]]",245,1542,"S708",,,TRUE,65,,,,1
1134,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2486.34,1555.3399999999997],[2526.37,1566.4199999999996],[2552.67,1470.3799999999997],[2512.63,1459.2999999999997],[2486.34,1555.3399999999997],[2486.34,1555.3399999999997]]]",245,1542,"S709",,,TRUE,65,,,,1
1116,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2605.15,1484.9099999999999],[2563.69,1473.44],[2537.4,1569.4699999999998],[2578.85,1580.9499999999998],[2605.15,1484.9099999999999],[2605.15,1484.9099999999999]]]",245,1542,"S710",,,TRUE,65,,,,1
1121,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2647.8,1496.7199999999998],[2620.41,1489.1399999999999],[2594.12,1585.1799999999998],[2621.5,1592.7599999999998],[2647.8,1496.7199999999998],[2647.8,1496.7199999999998]]]",245,1542,"S711",,,TRUE,65,,,,1
1119,"2020-01-28 13:23:02","2020-11-23 17:20:05",9,7,"[[[2861,1555.6],[2716.66,1515.7899999999995],[2690.71,1611.9199999999996],[2835.05,1651.73],[2861,1555.6],[2861,1555.6]]]",11,21,"S712",,,TRUE,65,,,,1
1107,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2910.29,1569.4],[2871.42,1558.6399999999999],[2845.13,1654.6799999999998],[2884,1665.4399999999998],[2910.29,1569.4],[2910.29,1569.4]]]",245,1542,"S713",,,TRUE,65,,,,1
1125,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[2895.13,1668.5199999999998],[2934.78,1679.4999999999998],[2961.08,1583.4599999999996],[2921.43,1572.4899999999998],[2895.13,1668.5199999999998],[2895.13,1668.5199999999998]]]",245,1542,"S714",,,TRUE,65,,,,1
1126,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[3013.41,1597.9599999999996],[2973.44,1586.8899999999999],[2947.14,1682.9199999999998],[2987.12,1693.9899999999998],[3013.41,1597.9599999999996],[3013.41,1597.9599999999996]]]",245,1542,"S715",,,TRUE,65,,,,1
1128,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[3061.85,1611.37],[3024.5,1601.02],[2998.2,1697.0599999999997],[3035.56,1707.3999999999999],[3061.85,1611.37],[3061.85,1611.37]]]",245,1542,"S716",,,TRUE,65,,,,1
1136,"2020-01-28 13:23:02","2020-11-23 17:20:05",9,7,"[[[3166.22,1640.2599999999998],[3072.75,1614.3799999999997],[3046.45,1710.4199999999998],[3139.92,1736.2999999999997],[3166.22,1640.2599999999998],[3166.22,1640.2599999999998]]]",1,71,"S717",,,TRUE,65,,,,1
1098,"2020-01-28 13:23:03","2020-11-23 17:20:05",9,7,"[[[3328.02,1685.0399999999997],[3242.42,1661.3399999999997],[3236.14,1684.2699999999998],[3234.65,1689.7299999999998],[3216.16,1757.2499999999998],[3256.35,1768.37],[3274.84,1700.85],[3320.25,1713.4299999999998],[3328.02,1685.0399999999997],[3328.02,1685.0399999999997]]]",13,137,"S718",,,TRUE,65,"wc",,,1
1097,"2020-01-28 13:23:06","2020-11-23 17:20:05",9,7,"[[[3268.8,1772.5399999999997],[3301.57,1781.62],[3316.99,1725.33],[3284.21,1716.2499999999998],[3268.8,1772.5399999999997],[3268.8,1772.5399999999997]]]",1,,"S719",,,TRUE,65,,,,1
1099,"2020-01-28 13:23:03","2020-11-23 17:20:05",9,7,"[[[3421.7,1710.9799999999998],[3338.94,1688.0699999999997],[3332.66,1710.9999999999998],[3331.17,1716.4499999999998],[3312.68,1783.9699999999998],[3351.53,1794.7299999999998],[3370.02,1727.2099999999998],[3413.93,1739.36],[3421.7,1710.9799999999998],[3421.7,1710.9799999999998]]]",13,137,"S720",,,TRUE,65,"wc",,,1
1100,"2020-01-28 13:23:03","2020-11-23 17:20:05",9,7,"[[[3411.29,1750.7199999999998],[3377.06,1741.2399999999998],[3361.64,1797.5299999999997],[3395.88,1807.0099999999998],[3411.29,1750.7199999999998],[3411.29,1750.7199999999998]]]",13,137,"S721",,,TRUE,65,"accessibleWC",,,1
1127,"2020-01-28 13:23:02","2020-11-23 17:20:05",9,7,"[[[3379.79,1860.9399999999998],[3139.6,1794.7599999999998],[3114.83,1888.4299999999998],[3355.03,1954.62],[3379.79,1860.9399999999998],[3379.79,1860.9399999999998]]]",11,21,"S722",,,TRUE,65,,,,1
